item_id|nama_asli|nama_tempat|latitude|longitude|rating|total_ulasan|harga|keyword_ulasan|detail|url
TOBAHOTL0080|PONDOK SILIWANGI toba|PONDOK SILIWANGI toba|2.3355892|99.0620598|4,2|6|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/PONDOK+SILIWANGI+kabupaten+toba
TOBAHOTL0081|PUDAN RESIDENCE toba|PUDAN RESIDENCE toba|2.298062|99.0700173|3,5|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Filter yang untuk penelusuran ini, Parkir gratis, Wi-Fi gratis, AC, Wi-Fi|https://maps.app.goo.gl/3jBPKfH6sVbBP6oaA
TOBAHOTL0082|RAP HOTEL toba|RAP HOTEL toba|2.3341052|99.0607736|4,0|234|Tidak ada informasi harga|Tidak ada keyword|Wi-Fi gratis, Parkir gratis, AC, Cocok untuk anak-anak|https://www.google.com/maps/search/RAP+HOTEL+kabupaten+toba
TOBAHOTL0083|Sabam Homestay toba|Sabam Homestay toba|2.4550737|98.9232505|5,0|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Filter yang untuk penelusuran ini|https://maps.app.goo.gl/qDoSMN9jQzsYz6KB6
TOBAHOTL0085|SINOK HOMESTAY toba|SINOK HOMESTAY toba|2.5071612|99.0110191|5,0|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Filter yang untuk penelusuran ini|https://maps.app.goo.gl/GE1FJnMpQxBjkWvT7
TOBAHOTL0086|SOVONTA HOTEL toba|SOVONTA HOTEL toba|2.3336954|99.0597202|3,9|24|Tidak ada informasi harga|harganya, AC, kasur, resepsionis, bau, handuk, traveling|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/SOVONTA+HOTEL+kabupaten+toba
TOBAHOTL0087|STAR BEACH HOTEL toba|STAR BEACH HOTEL toba|2.6517458|98.9307087|3,7|300|Tidak ada informasi harga|Tidak ada keyword|Wi-Fi, Parkir gratis, Cocok untuk anak-anak, Restoran|https://www.google.com/maps/search/STAR+BEACH+HOTEL+kabupaten+toba
TOBAHOTL0088|Pondok Berata Dapdap|Pondok Berata Dapdap|2.3469263|99.0187823|4,8|103|Harga lainnya mulai Rp 748.820|danau, alam, berenang, pemandangan, damai, kano, jetski, dayung, rumah pohon, dewi|Wifi, Sarapan, Layanan binatu, layanan kamar, cocok untuk anak-anak, Restoran|https://maps.app.goo.gl/zEeNUQDqKCJCLgnW9
TOBAHOTL0089|Toba Rose toba|Toba Rose toba|2.341737|99.0488411|4,2|211|Tidak ada informasi harga|harga, kamar, danau, pemandangan, keluarga, penginapan, santai, kipas, musik|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Toba+Rose+kabupaten+toba
TOBAHOTL0091|Vania Homestay toba|Vania Homestay toba|2.3222866|99.0039962|5,0|3|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Vania+Homestay+kabupaten+toba
TOBAHOTL0092|VILLA SAPADIA toba|VILLA SAPADIA toba|2.3317427|99.0596278|4,1|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Filter yang untuk penelusuran ini|https://maps.app.goo.gl/KaVScvGosp3z4qfb9
